query,join_intermediates
q1-1.sql,11912261
q1-2.sql,421934
q1-3.sql,665644
q2-1.sql,33842634
q2-2.sql,6690765
q2-3.sql,837271
q3-1.sql,166403179
q3-2.sql,25971644
q3-3.sql,4949272
q4-1.sql,163591945
q4-2.sql,157451327
q4-3.sql,25217277
