Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
q1-1.sql,11514,7126,193,1193512,1194804,0,3895881762,928,18,2,1192215,2390,0.49983614128020565,0.5397481114246709,1.0
q1-2.sql,4792,4571,11,42676,43203,0,57350895,496,10,2,42148,87,0.49890779602900354,0.596037791454856,1.0
q1-3.sql,4504,4378,5,66990,67779,0,89498637,741,14,2,66198,136,0.4968992258095941,0.5919848202239668,1.0
q2-1.sql,8383,194,858,3457010,9342413,0,253359484,2935547,47,10,497009,18685,0.026723004265020472,0.2729257641921397,1.0
q2-2.sql,1918,118,123,683502,1849736,0,69078815,581973,37,11,96682,3700,0.02657783430103741,0.33875338753387535,1.0
q2-3.sql,477,189,78,88036,237834,0,10978537,75284,28,9,12134,476,0.027122231358996433,0.11512814284659362,1.0
q3-1.sql,25802,103,1853,16731537,36692275,0,1028715771,14494367,43,9,2196234,73385,0.0299989648564827,0.241136392281095,1.0
q3-2.sql,4401,228,697,2594405,5808332,0,252193101,2498583,47,8,87593,11617,0.00791764248865068,0.24307237179470081,1.0
q3-3.sql,1325,91,6,655964,1596751,0,525996354,650907,37,9,3307,3194,0.0021453396260672697,0.11216687485527795,1.0
q4-1.sql,24288,869,704,16383294,38196956,0,1022177676,15365460,85,24,977326,76394,0.012858918289366835,0.1598053887347643,1.0
q4-2.sql,23985,579,238,19845521,48945048,0,10369187604,19570716,70,23,234575,97891,0.002451251700924639,0.1183211312108495,1.0
q4-3.sql,4496,107,28,2599749,7772969,0,7289237348,2594180,61,24,4662,15546,5.004442414110763E-4,0.01515189946452813,1.0
