query,duration
16d.sql,0.9720
16d.sql,0.9745
16d.sql,0.9731
16d.sql,0.9678
16d.sql,0.9542
17a.sql,8.9396
17a.sql,8.9643
17a.sql,8.9316
17a.sql,8.9822
17a.sql,8.9811
17b.sql,6.9640
17b.sql,6.9893
17b.sql,6.9765
17b.sql,6.9741
17b.sql,6.9774
17c.sql,6.7013
17c.sql,6.7138
17c.sql,6.7106
17c.sql,6.7104
17c.sql,6.7078
17d.sql,6.8263
17d.sql,6.8123
17d.sql,6.8147
17d.sql,6.8112
17d.sql,6.8117
17e.sql,9.0208
17e.sql,9.0286
17e.sql,8.9827
17e.sql,9.0020
17e.sql,8.9803
17f.sql,8.6840
17f.sql,8.6821
17f.sql,8.6932
17f.sql,8.6938
17f.sql,8.6918
18a.sql,7.7558
18a.sql,7.5911
18a.sql,7.0718
18a.sql,7.6164
18a.sql,7.2581
18b.sql,0.3701
18b.sql,0.3593
18b.sql,0.3627
18b.sql,0.3589
18b.sql,0.3606
18c.sql,9.8951
18c.sql,9.0283
18c.sql,9.7909
18c.sql,10.3677
18c.sql,9.0288
19a.sql,0.3793
19a.sql,0.3425
19a.sql,0.3423
19a.sql,0.3429
19a.sql,0.3423
19b.sql,0.1764
19b.sql,0.1741
19b.sql,0.1706
19b.sql,0.1777
19b.sql,0.1692
19c.sql,12.6691
19c.sql,12.5536
19c.sql,12.7348
19c.sql,12.7867
19c.sql,12.6451
19d.sql,10.4808
19d.sql,8.7500
19d.sql,9.4408
19d.sql,11.2645
19d.sql,9.5592
20a.sql,84.4946
20a.sql,83.6019
20a.sql,83.8195
20a.sql,83.3932
20a.sql,83.2375
20b.sql,34.2575
20b.sql,34.1035
20b.sql,34.0022
20b.sql,34.0186
20b.sql,34.1034
20c.sql,35.8460
20c.sql,36.8135
20c.sql,35.9663
20c.sql,35.9269
20c.sql,35.9417
21a.sql,0.0658
21a.sql,0.0615
21a.sql,0.0606
21a.sql,0.0599
21a.sql,0.0601
21b.sql,0.0297
21b.sql,0.0297
21b.sql,0.0297
21b.sql,0.0297
21b.sql,0.0297
21c.sql,0.0319
21c.sql,0.0313
21c.sql,0.0312
21c.sql,0.0312
21c.sql,0.0312
22a.sql,0.4910
22a.sql,0.4792
22a.sql,0.4799
22a.sql,0.4793
22a.sql,0.4797
22b.sql,0.2460
22b.sql,0.2464
22b.sql,0.2446
22b.sql,0.2439
22b.sql,0.2452
22c.sql,1.7773
22c.sql,1.7744
22c.sql,1.7812
22c.sql,1.7806
22c.sql,1.7733
22d.sql,1.4939
22d.sql,1.4838
22d.sql,1.4821
22d.sql,1.4942
22d.sql,1.4891
23a.sql,0.1734
23a.sql,0.1702
23a.sql,0.1703
23a.sql,0.1704
23a.sql,0.1700
23b.sql,0.1689
23b.sql,0.1690
23b.sql,0.1689
23b.sql,0.1687
23b.sql,0.1702
23c.sql,0.3224
23c.sql,0.3217
23c.sql,0.3215
23c.sql,0.3217
23c.sql,0.3222
24a.sql,0.3064
24a.sql,0.2978
24a.sql,0.2990
24a.sql,0.3001
24a.sql,0.2986
24b.sql,0.0860
24b.sql,0.0724
24b.sql,0.0710
24b.sql,0.0691
24b.sql,0.0705
25a.sql,2.7911
25a.sql,2.7738
25a.sql,2.7692
25a.sql,2.7688
25a.sql,2.7701
25b.sql,0.3044
25b.sql,0.2985
25b.sql,0.2988
25b.sql,0.2984
25b.sql,0.2987
25c.sql,9.3648
25c.sql,9.4582
25c.sql,9.2954
25c.sql,8.1623
25c.sql,8.8221
26a.sql,0.7103
26a.sql,0.6968
26a.sql,0.7027
26a.sql,0.7022
26a.sql,0.7014
26b.sql,0.3372
26b.sql,0.3383
26b.sql,0.3380
26b.sql,0.3364
26b.sql,0.3370
26c.sql,1.7657
26c.sql,1.7607
26c.sql,1.7576
26c.sql,1.7586
26c.sql,1.7600
27a.sql,0.0508
27a.sql,0.0492
27a.sql,0.0490
27a.sql,0.0489
27a.sql,0.0489
27b.sql,0.0488
27b.sql,0.0476
27b.sql,0.0473
27b.sql,0.0472
27b.sql,0.0473
27c.sql,0.0554
27c.sql,0.0547
27c.sql,0.0547
27c.sql,0.0547
27c.sql,0.0548
28a.sql,1.7323
28a.sql,1.7349
28a.sql,1.7313
28a.sql,1.7343
28a.sql,1.7328
28b.sql,0.5187
28b.sql,0.5158
28b.sql,0.5167
28b.sql,0.5154
28b.sql,0.5198
28c.sql,5.5733
28c.sql,5.5981
28c.sql,5.5780
28c.sql,5.5587
28c.sql,5.5657
29a.sql,5.6200
29a.sql,5.6069
29a.sql,5.5927
29a.sql,5.5880
29a.sql,5.6051
29b.sql,4.1703
29b.sql,4.1685
29b.sql,4.1771
29b.sql,4.1695
29b.sql,4.1771
29c.sql,20.2767
29c.sql,20.2974
29c.sql,20.1418
29c.sql,20.0066
29c.sql,20.1486
30a.sql,0.6731
30a.sql,0.6745
30a.sql,0.6780
30a.sql,0.6773
30a.sql,0.6780
30b.sql,0.1298
30b.sql,0.1153
30b.sql,0.1146
