query,duration
01a.sql,0.0798
01a.sql,0.0764
01a.sql,0.0755
01a.sql,0.0865
01a.sql,0.0940
01b.sql,0.0849
01b.sql,0.0855
01b.sql,0.0862
01b.sql,0.0841
01b.sql,0.0860
01c.sql,0.0915
01c.sql,0.0872
01c.sql,0.0910
01c.sql,0.0911
01c.sql,0.0882
01d.sql,0.0863
01d.sql,0.0855
01d.sql,0.0861
01d.sql,0.0863
01d.sql,0.0867
02a.sql,0.6404
02a.sql,0.4543
02a.sql,0.3471
02a.sql,0.3295
02a.sql,0.3288
02b.sql,0.3205
02b.sql,0.3200
02b.sql,0.3186
02b.sql,0.3227
02b.sql,0.3199
02c.sql,0.3022
02c.sql,0.3007
02c.sql,0.3014
02c.sql,0.2997
02c.sql,0.3014
02d.sql,0.4313
02d.sql,0.4365
02d.sql,0.4327
02d.sql,0.4341
02d.sql,0.4322
03a.sql,0.1260
03a.sql,0.1193
03a.sql,0.1196
03a.sql,0.1189
03a.sql,0.1193
03b.sql,0.0759
03b.sql,0.0732
03b.sql,0.0708
03b.sql,0.0725
03b.sql,0.0729
03c.sql,0.2303
03c.sql,0.2307
03c.sql,0.2306
03c.sql,0.2302
03c.sql,0.2304
04a.sql,0.0790
04a.sql,0.0760
04a.sql,0.0737
04a.sql,0.0754
04a.sql,0.0720
04b.sql,0.0906
04b.sql,0.0878
04b.sql,0.0886
04b.sql,0.0884
04b.sql,0.0877
04c.sql,0.0979
04c.sql,0.0847
04c.sql,0.0849
04c.sql,0.0822
04c.sql,0.0831
05a.sql,0.1237
05a.sql,0.1270
05a.sql,0.1519
05a.sql,0.1560
05a.sql,0.1565
05b.sql,0.1480
05b.sql,0.1492
05b.sql,0.1486
05b.sql,0.1500
05b.sql,0.1488
05c.sql,0.2013
05c.sql,0.1941
05c.sql,0.1929
05c.sql,0.1929
05c.sql,0.1941
06a.sql,0.0353
06a.sql,0.0222
06a.sql,0.0213
06a.sql,0.0207
06a.sql,0.0183
06b.sql,0.3229
06b.sql,0.2888
06b.sql,0.2531
06b.sql,0.2220
06b.sql,0.1983
06c.sql,0.0081
06c.sql,0.0077
06c.sql,0.0072
06c.sql,0.0069
06c.sql,0.0068
06d.sql,5.1666
06d.sql,5.1460
06d.sql,5.1390
06d.sql,5.1421
06d.sql,5.1494
06e.sql,0.0124
06e.sql,0.0102
06e.sql,0.0098
06e.sql,0.0084
06e.sql,0.0080
06f.sql,5.2493
06f.sql,5.2332
06f.sql,5.2376
06f.sql,5.2324
06f.sql,5.2370
07a.sql,0.7388
07a.sql,0.7353
07a.sql,0.7343
07a.sql,0.7391
07a.sql,0.7350
07b.sql,0.1887
07b.sql,0.1774
07b.sql,0.1776
07b.sql,0.1771
07b.sql,0.1761
07c.sql,8.4186
07c.sql,8.5593
07c.sql,8.4899
07c.sql,8.4785
07c.sql,8.5046
08a.sql,1.6519
08a.sql,1.6519
08a.sql,1.6423
08a.sql,1.6747
08a.sql,1.7147
08b.sql,0.1993
08b.sql,0.1804
08b.sql,0.1805
08b.sql,0.1801
08b.sql,0.1810
08c.sql,11.6458
08c.sql,11.6064
08c.sql,11.5420
08c.sql,11.7605
08c.sql,11.6323
08d.sql,3.0976
08d.sql,2.9638
08d.sql,3.0367
08d.sql,2.7348
08d.sql,2.8190
09a.sql,0.2181
09a.sql,0.2333
09a.sql,0.2351
09a.sql,0.2342
09a.sql,0.2349
09b.sql,0.2275
09b.sql,0.2282
09b.sql,0.2273
09b.sql,0.2299
09b.sql,0.2268
09c.sql,0.4987
09c.sql,0.4535
09c.sql,0.5002
09c.sql,0.5012
09c.sql,0.4918
09d.sql,1.7881
09d.sql,1.9146
09d.sql,1.9127
09d.sql,1.8972
09d.sql,1.9113
10a.sql,0.4592
10a.sql,0.4414
10a.sql,0.4578
10a.sql,0.4518
10a.sql,0.4404
10b.sql,0.2539
10b.sql,0.2524
10b.sql,0.2534
10b.sql,0.2498
10b.sql,0.2538
10c.sql,12.9819
10c.sql,12.7104
10c.sql,12.4163
10c.sql,12.5337
10c.sql,12.7011
11a.sql,0.0568
11a.sql,0.0494
11a.sql,0.0495
11a.sql,0.0494
11a.sql,0.0493
11b.sql,0.0173
11b.sql,0.0173
11b.sql,0.0173
11b.sql,0.0172
11b.sql,0.0173
11c.sql,0.2616
11c.sql,0.2478
11c.sql,0.2384
11c.sql,0.2460
11c.sql,0.2318
11d.sql,0.2101
11d.sql,0.1865
11d.sql,0.1608
11d.sql,0.1504
11d.sql,0.1305
12a.sql,0.2404
12a.sql,0.2905
12a.sql,0.2887
12a.sql,0.2895
12a.sql,0.2919
12b.sql,0.0927
12b.sql,0.0902
12b.sql,0.0901
12b.sql,0.0903
12b.sql,0.0897
12c.sql,1.0839
12c.sql,1.0823
12c.sql,1.0798
12c.sql,1.0703
12c.sql,1.0851
13a.sql,1.9401
13a.sql,1.9463
13a.sql,1.8375
13a.sql,1.8925
13a.sql,1.9045
13b.sql,0.8348
13b.sql,0.8219
13b.sql,0.8199
13b.sql,0.8251
13b.sql,0.8155
13c.sql,0.7776
13c.sql,0.8066
13c.sql,0.8086
13c.sql,0.8003
13c.sql,0.8024
13d.sql,4.8625
13d.sql,4.8849
13d.sql,4.8497
13d.sql,4.5127
13d.sql,4.7289
14a.sql,0.4968
14a.sql,0.3855
14a.sql,0.3250
14a.sql,0.3097
14a.sql,0.3072
14b.sql,0.1063
14b.sql,0.1060
14b.sql,0.1058
14b.sql,0.1053
14b.sql,0.1057
14c.sql,0.6125
14c.sql,0.6065
14c.sql,0.6066
14c.sql,0.6065
14c.sql,0.6024
15a.sql,0.3459
15a.sql,0.3633
15a.sql,0.3604
15a.sql,0.3605
15a.sql,0.3597
15b.sql,0.0569
15b.sql,0.0479
15b.sql,0.0465
15b.sql,0.0458
15b.sql,0.0447
15c.sql,0.4840
15c.sql,0.4742
15c.sql,0.4750
15c.sql,0.4748
15c.sql,0.4727
15d.sql,0.5513
15d.sql,0.5608
15d.sql,0.5550
15d.sql,0.5599
15d.sql,0.5551
16a.sql,0.2879
16a.sql,0.2758
16a.sql,0.2763
16a.sql,0.2742
16a.sql,0.2704
16b.sql,14.9280
16b.sql,14.8238
16b.sql,14.7248
16b.sql,14.8105
16b.sql,14.8051
16c.sql,1.2123
16c.sql,1.2135
16c.sql,1.2176
16c.sql,1.2245
16c.sql,1.2186
16d.sql,0.9743
16d.sql,0.9740
16d.sql,0.9757
16d.sql,0.9732
16d.sql,0.9757
17a.sql,9.0114
17a.sql,8.9729
17a.sql,8.9893
17a.sql,8.9818
17a.sql,8.9963
17b.sql,6.9980
17b.sql,6.9892
17b.sql,7.0035
17b.sql,6.9949
17b.sql,6.9902
17c.sql,6.7258
17c.sql,7.4864
17c.sql,6.7312
17c.sql,6.7276
17c.sql,6.7380
17d.sql,6.7412
17d.sql,6.7511
17d.sql,6.6651
17d.sql,6.7508
17d.sql,6.7699
17e.sql,8.9539
17e.sql,8.8524
17e.sql,9.0026
17e.sql,9.0204
17e.sql,8.8491
17f.sql,8.5906
17f.sql,8.6014
17f.sql,8.6033
17f.sql,8.5919
17f.sql,8.6295
18a.sql,5.8518
18a.sql,5.8820
18a.sql,5.9851
18a.sql,5.9955
18a.sql,5.7935
18b.sql,0.2837
18b.sql,0.2758
18b.sql,0.2791
18b.sql,0.2766
18b.sql,0.2769
18c.sql,7.2471
18c.sql,7.2022
18c.sql,7.9287
18c.sql,7.8501
18c.sql,7.3781
19a.sql,0.2626
19a.sql,0.2525
19a.sql,0.2490
19a.sql,0.2487
19a.sql,0.2487
19b.sql,0.1567
19b.sql,0.1389
19b.sql,0.1551
19b.sql,0.1556
19b.sql,0.1558
19c.sql,5.6576
19c.sql,5.8698
19c.sql,5.6709
19c.sql,5.7577
19c.sql,5.8370
19d.sql,4.4135
19d.sql,4.3702
19d.sql,4.3919
19d.sql,4.3756
19d.sql,4.3803
20a.sql,83.9342
20a.sql,83.2828
20a.sql,83.8139
20a.sql,84.0090
20a.sql,82.7220
20b.sql,34.2887
20b.sql,33.6851
20b.sql,34.0712
20b.sql,33.8073
20b.sql,33.9664
20c.sql,35.8065
20c.sql,35.6794
20c.sql,35.8378
20c.sql,35.4771
20c.sql,35.8199
21a.sql,0.0657
21a.sql,0.0615
21a.sql,0.0606
21a.sql,0.0602
21a.sql,0.0599
21b.sql,0.0297
21b.sql,0.0297
21b.sql,0.0297
21b.sql,0.0298
21b.sql,0.0298
21c.sql,0.0319
21c.sql,0.0313
21c.sql,0.0313
21c.sql,0.0313
21c.sql,0.0312
22a.sql,0.4897
22a.sql,0.4811
22a.sql,0.4804
22a.sql,0.4801
22a.sql,0.4809
22b.sql,0.2459
22b.sql,0.2468
22b.sql,0.2463
22b.sql,0.2453
22b.sql,0.2445
22c.sql,1.7795
22c.sql,1.7829
22c.sql,1.7778
22c.sql,1.7814
22c.sql,1.7896
22d.sql,1.4979
22d.sql,1.4958
22d.sql,1.4970
22d.sql,1.4878
22d.sql,1.4920
23a.sql,0.1722
23a.sql,0.1682
23a.sql,0.1687
23a.sql,0.1684
23a.sql,0.1682
23b.sql,0.1668
23b.sql,0.1667
23b.sql,0.1665
23b.sql,0.1666
23b.sql,0.1674
23c.sql,0.3235
23c.sql,0.3226
23c.sql,0.3237
23c.sql,0.3227
23c.sql,0.3234
24a.sql,0.2332
24a.sql,0.2250
24a.sql,0.2242
24a.sql,0.2247
24a.sql,0.2267
24b.sql,0.0934
24b.sql,0.0838
24b.sql,0.0865
24b.sql,0.0872
24b.sql,0.0853
25a.sql,2.8845
25a.sql,3.0909
25a.sql,3.0104
25a.sql,2.9673
25a.sql,2.8971
25b.sql,0.3455
25b.sql,0.3247
25b.sql,0.3148
25b.sql,0.3213
25b.sql,0.3205
25c.sql,9.5487
25c.sql,9.4976
25c.sql,8.7252
25c.sql,8.2318
25c.sql,9.9523
26a.sql,0.7130
26a.sql,0.7008
26a.sql,0.6997
26a.sql,0.6991
26a.sql,0.7009
26b.sql,0.3370
26b.sql,0.3381
26b.sql,0.3398
26b.sql,0.3384
26b.sql,0.3385
26c.sql,1.5923
26c.sql,1.5861
26c.sql,1.5866
26c.sql,1.5827
26c.sql,1.5856
27a.sql,0.0507
27a.sql,0.0492
27a.sql,0.0489
27a.sql,0.0488
27a.sql,0.0488
27b.sql,0.0810
27b.sql,0.0795
27b.sql,0.0794
27b.sql,0.0795
27b.sql,0.0794
27c.sql,0.0465
27c.sql,0.0458
27c.sql,0.0457
27c.sql,0.0458
27c.sql,0.0458
28a.sql,1.7267
28a.sql,1.7262
28a.sql,1.7270
28a.sql,1.7345
28a.sql,1.7338
28b.sql,0.2632
28b.sql,0.2609
28b.sql,0.2586
28b.sql,0.2605
28b.sql,0.2609
28c.sql,2.4125
28c.sql,2.4135
28c.sql,2.4077
28c.sql,2.4065
28c.sql,2.4109
29a.sql,0.3473
29a.sql,0.3461
29a.sql,0.3477
29a.sql,0.3460
29a.sql,0.3454
29b.sql,0.1401
29b.sql,0.1330
29b.sql,0.1295
29b.sql,0.1261
29b.sql,0.1202
29c.sql,2.5277
29c.sql,2.5270
29c.sql,2.5141
29c.sql,2.5176
29c.sql,2.5223
30a.sql,0.9922
30a.sql,0.9984
30a.sql,0.9970
30a.sql,0.9971
30a.sql,0.9947
30b.sql,0.1309
30b.sql,0.1167
30b.sql,0.1145
30b.sql,0.1139
30b.sql,0.1125
30c.sql,2.2162
30c.sql,2.2102
30c.sql,2.2094
30c.sql,2.2079
30c.sql,2.2090
31a.sql,1.7148
31a.sql,1.7773
31a.sql,1.7961
31a.sql,1.7919
31a.sql,1.7828
31b.sql,0.4865
