TIME sec  , mode 
   149.070, loc  
   155.450, loc  
    96.700, loc  
   333.880, fed1 
   356.580, fed1 
   368.990, fed1 
   199.540, fed2 
   202.680, fed2 
   209.590, fed2 
   150.360, fed3 
   155.440, fed3 
   153.310, fed3 
   124.160, fed4 
   126.150, fed4 
   126.290, fed4 
   113.360, fed5 
   108.570, fed5 
   115.730, fed5 
   101.000, fed6 
    97.720, fed6 
    98.780, fed6 
    96.340, fed7 
    93.800, fed7 
    91.080, fed7 
