query,join_intermediates
q2-1.sql,66714658
q2-2.sql,8272051
q2-3.sql,118901412
q3-1.sql,65943521
q3-2.sql,23035035
q3-3.sql,59692513
q4-1.sql,62972147
q4-2.sql,75427021
q4-3.sql,54902250
