query,duration
q1-1.sql,11.5990
q1-1.sql,11.5367
q1-1.sql,10.8532
q1-1.sql,11.4908
q1-1.sql,10.9796
q1-2.sql,10.4685
q1-2.sql,10.1021
q1-2.sql,11.6342
q1-2.sql,10.2037
q1-2.sql,10.6683
q1-3.sql,10.6562
q1-3.sql,10.7554
q1-3.sql,10.3836
q1-3.sql,10.6283
q1-3.sql,11.5552
q2-1.sql,17.4746
q2-1.sql,18.0212
q2-1.sql,16.9191
q2-1.sql,16.9670
q2-1.sql,17.5536
q2-2.sql,7.2468
q2-2.sql,7.0253
q2-2.sql,7.0035
q2-2.sql,6.6698
q2-2.sql,6.5750
q2-3.sql,1.4991
q2-3.sql,1.5058
q2-3.sql,1.3420
q2-3.sql,1.4260
q2-3.sql,1.5008
q3-1.sql,20.1415
q3-1.sql,21.6562
q3-1.sql,21.9148
q3-1.sql,18.3904
q3-1.sql,23.0384
q3-2.sql,16.7132
q3-2.sql,16.9920
q3-2.sql,16.9774
q3-2.sql,16.2403
q3-2.sql,17.0016
q3-3.sql,12.0333
q3-3.sql,11.9994
q3-3.sql,12.4735
q3-3.sql,12.1034
q3-3.sql,12.2198
q4-1.sql,23.1512
q4-1.sql,24.8398
q4-1.sql,24.1933
q4-1.sql,23.4943
q4-1.sql,22.2547
q4-2.sql,22.9420
q4-2.sql,21.1126
q4-2.sql,21.7805
q4-2.sql,22.7248
q4-2.sql,22.4690
q4-3.sql,27.7463
q4-3.sql,27.3116
q4-3.sql,26.6339
q4-3.sql,26.2835
q4-3.sql,25.3730
