query,duration
q2-1.sql,13.1662
q2-1.sql,13.6842
q2-1.sql,13.8683
q2-1.sql,13.9625
q2-1.sql,14.3481
q2-2.sql,4.8797
q2-2.sql,4.8173
q2-2.sql,4.8066
q2-2.sql,4.7560
q2-2.sql,4.8879
q2-3.sql,15.0464
q2-3.sql,15.5508
q2-3.sql,15.2712
q2-3.sql,15.3523
q2-3.sql,15.4058
q3-1.sql,11.9140
q3-1.sql,11.8828
q3-1.sql,11.7971
q3-1.sql,10.9743
q3-1.sql,11.4228
q3-2.sql,35.9430
q3-2.sql,36.8860
q3-2.sql,36.0408
q3-2.sql,36.6143
q3-2.sql,35.6688
q3-3.sql,146.4107
q3-3.sql,149.6248
q3-3.sql,152.3044
q3-3.sql,150.2495
q3-3.sql,155.4296
q4-1.sql,14.9271
q4-1.sql,14.9285
q4-1.sql,14.1032
q4-1.sql,14.2526
q4-1.sql,14.4144
q4-2.sql,24.6343
q4-2.sql,24.9255
q4-2.sql,25.5100
q4-2.sql,26.5437
q4-2.sql,25.5503
q4-3.sql,27.8460
q4-3.sql,27.3246
q4-3.sql,27.6434
q4-3.sql,28.1195
q4-3.sql,28.3466
