23.621908598,14.190104232,10.088524041,103.235218857,92.994083257,27.286604761,140.010961651,86.363507919,28.733643952,204.118032484,192.265735347,113.183228915
14.76221294,14.980750482,9.001772393,98.657818046,87.648093702,25.679523046,130.047416462,84.297139316,28.292134149,206.801858072,191.445597338,117.759662851
14.850007912,13.953769426,8.988284131,98.416972157,87.671943486,26.700428165,130.642770255,85.447407342,28.234490544,204.377143307,180.248728813,104.904464742
14.956887692,14.910316199,9.051549693,99.327811719,91.626877822,25.651160438,129.220859178,84.964632188,28.471523634,202.274165563,178.44967669,103.172610304
14.942422468,14.567903549,8.829474577,101.251550648,87.3296283,25.364660501,130.257576573,84.829231432,28.670112879,206.481958054,180.041258693,105.640753358
15.157761075,14.188166135,9.287918556,99.628486117,91.293195568,26.577225492,129.790164226,84.106250354,29.231937471,206.463841919,190.490801892,116.32657761
14.514460711,14.843743156,8.930941639,99.307030286,90.696750829,25.687036148,129.888716759,84.456808849,28.955967157,241.61991977,207.946885713,116.922019559
14.948385825,15.385901205,9.202995691,101.668288139,91.029171035,31.753495532,130.122358723,86.568197478,28.934861323,241.19876148,210.31308655,117.373124035
15.137203553,14.020325145,8.836756288,102.0918939,90.381516234,32.040279617,128.890859645,84.838004084,29.286913517,242.522973522,209.082534608,117.061731947
14.520093375,14.398655785,9.093816087,100.75839854,92.46136874,31.537506883,127.067894264,85.768258346,28.14496086,246.288718169,212.404695155,120.2857294
