USCensus,0.0001,1868929
USCensus,0.00033,1444303
USCensus,0.001,977044
USCensus,0.0033,577942
USCensus,0.01,373926
USCensus,0.033,229359
USCensus,0.1,165073
Adult,0.0001,9101
Adult,0.00033,9459
Adult,0.001,7343
Adult,0.0033,6029
Adult,0.01,5676
Adult,0.033,4155
Adult,0.1,3361
Covtype,0.0001,248362
Covtype,0.00033,224989
Covtype,0.001,203981
Covtype,0.0033,171651
Covtype,0.01,135618
Covtype,0.033,96281
Covtype,0.1,66772
KDD98,0.0001,885027
KDD98,0.00033,742509
KDD98,0.001,561493
KDD98,0.0033,922617
KDD98,0.01,735395
KDD98,0.033,305208
KDD98,0.1,103053
