Adult,0.36,5797
Adult,0.68,5473
Adult,0.84,5699
Adult,0.92,5815
Adult,0.96,4909
Adult,0.98,4963
Adult,0.99,4876
USCensus,0.36,1017771
USCensus,0.68,970042
USCensus,0.84,636681
USCensus,0.92,475736
USCensus,0.96,385371
USCensus,0.98,359647
USCensus,0.99,348659
Covtype,0.36,137242
Covtype,0.68,138449
Covtype,0.84,136596
Covtype,0.92,135623
Covtype,0.96,138558
Covtype,0.98,131412
Covtype,0.99,131096
KDD98,0.36,495905
KDD98,0.68,609119
KDD98,0.84,693190
KDD98,0.92,717751
KDD98,0.96,716500
KDD98,0.98,675713
KDD98,0.99,644785
