USCensus,1,1043269
USCensus,1,1027086
USCensus,1,912272
USCensus,2,487558
USCensus,2,468945
USCensus,2,491133
USCensus,4,377113
USCensus,4,368571
USCensus,4,376473
USCensus,8,355667
USCensus,8,339181
USCensus,8,354079
USCensus,16,438719
USCensus,16,427887
USCensus,16,398731
USCensus,32,559833
USCensus,32,511139
USCensus,32,510466
USCensus,64,557052
USCensus,64,564004
USCensus,64,543344
USCensus,128,1533832
USCensus,128,1492832
USCensus,128,1456745
USCensus,256,10767705
USCensus,256,10907889
USCensus,256,10767705
USCensus,256,10907889
USCensus,256,10767705
USCensus,256,10907889
Covtype,1,452306
Covtype,1,415131
Covtype,1,434688
Covtype,2,209506
Covtype,2,208448
Covtype,2,209837
Covtype,4,162941
Covtype,4,166126
Covtype,4,163714
Covtype,8,153616
Covtype,8,146101
Covtype,8,148022
Covtype,16,139556
Covtype,16,137239
Covtype,16,138892
Covtype,32,123689
Covtype,32,124611
Covtype,32,124352
Covtype,64,124221
Covtype,64,120525
Covtype,64,123608
Covtype,128,168946
Covtype,128,150560
Covtype,128,165010
Covtype,256,197239
Covtype,256,201200
Covtype,256,233206
Covtype,512,561501
Covtype,512,662467
Covtype,512,592935
