Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q2-3.sql,true,15,1,10,3,1,1,0,0,0,0,0,0,52,0,0,0,0,12134,0.0,0.0,0.0,0,0,0,0
q2-3.sql,true,16,1,10,3,1,1,0,0,0,0,0,0,55,0,0,0,0,12134,0.0,0.0,0.0,0,0,0,0
q2-3.sql,true,16,1,9,4,1,1,0,0,0,0,0,0,54,0,0,0,0,12134,0.0,0.0,0.0,0,0,0,0
q2-3.sql,false,17,2,10,4,1,1,1,0,0,0,0,0,54,0,0,0,0,12134,0.0,0.0,0.0,0,0,0,0
q2-2.sql,true,98,4,66,23,5,3,1,0,0,0,0,0,384,0,0,0,0,96682,0.0,0.0,0.0,0,0,0,0
q2-2.sql,true,96,3,67,22,4,3,0,0,0,0,0,0,382,0,0,0,0,96682,0.0,0.0,0.0,0,0,0,0
q2-2.sql,true,99,3,67,25,4,3,0,0,0,0,0,0,382,0,0,0,0,96682,0.0,0.0,0.0,0,0,0,0
q2-2.sql,true,98,4,66,23,5,3,1,0,0,0,0,0,384,0,0,0,0,96682,0.0,0.0,0.0,0,0,0,0
q2-2.sql,true,91,4,66,16,5,4,0,0,0,0,0,0,380,0,0,0,0,96682,0.0,0.0,0.0,0,0,0,0
q2-2.sql,false,91,4,65,17,5,3,1,0,0,0,0,0,380,0,0,0,0,96682,0.0,0.0,0.0,0,0,0,0
q2-1.sql,true,482,2,329,130,20,2,0,0,0,0,0,0,1925,0,0,0,0,497009,0.0,0.0,0.0,0,0,0,0
q2-1.sql,true,456,3,332,102,19,2,1,0,0,0,0,0,1936,0,0,0,0,497009,0.0,0.0,0.0,0,0,0,0
q2-1.sql,true,467,2,346,98,21,1,1,0,0,0,0,0,2089,0,0,0,0,497009,0.0,0.0,0.0,0,0,0,0
q2-1.sql,true,459,3,345,89,22,2,1,0,0,0,0,0,2122,0,0,0,0,497009,0.0,0.0,0.0,0,0,0,0
q2-1.sql,true,474,3,328,122,21,2,1,0,0,0,0,0,1946,0,0,0,0,497009,0.0,0.0,0.0,0,0,0,0
q2-1.sql,false,482,2,334,125,21,1,1,0,0,0,0,0,1948,0,0,0,0,497009,0.0,0.0,0.0,0,0,0,0
q1-3.sql,true,521,453,6,17,45,279,174,0,45,0,0,0,22,0,0,0,0,66198,0.0,0.0,0.0,0,0,0,0
q1-3.sql,true,404,348,6,26,24,276,72,0,24,0,0,0,22,0,0,0,0,66198,0.0,0.0,0.0,0,0,0,0
q1-3.sql,true,401,351,6,17,27,280,71,0,27,0,0,0,21,0,0,0,0,66198,0.0,0.0,0.0,0,0,0,0
q1-3.sql,true,395,352,5,15,23,281,71,0,23,0,0,0,21,0,0,0,0,66198,0.0,0.0,0.0,0,0,0,0
q1-3.sql,true,387,354,5,21,7,283,71,0,7,0,0,0,21,0,0,0,0,66198,0.0,0.0,0.0,0,0,0,0
q1-3.sql,false,385,351,6,20,8,280,71,0,8,0,0,0,22,0,0,0,0,66198,0.0,0.0,0.0,0,0,0,0
q1-2.sql,true,368,343,4,13,8,272,71,0,8,0,0,0,13,0,0,0,0,42148,0.0,0.0,0.0,0,0,0,0
q1-2.sql,true,373,351,4,9,9,279,72,0,9,0,0,0,14,0,0,0,0,42148,0.0,0.0,0.0,0,0,0,0
q1-2.sql,true,372,344,5,13,9,272,72,0,9,0,0,0,14,0,0,0,0,42148,0.0,0.0,0.0,0,0,0,0
q1-2.sql,true,367,344,4,10,9,273,71,0,9,0,0,0,15,0,0,0,0,42148,0.0,0.0,0.0,0,0,0,0
q1-2.sql,true,381,351,5,15,10,278,73,0,10,0,0,0,14,0,0,0,0,42148,0.0,0.0,0.0,0,0,0,0
q1-2.sql,false,364,339,4,10,10,272,67,0,10,0,0,0,14,0,0,0,0,42148,0.0,0.0,0.0,0,0,0,0
q1-1.sql,true,938,418,105,397,18,216,202,0,18,0,0,0,344,0,0,0,0,1192215,0.0,0.0,0.0,0,0,0,0
q1-1.sql,true,943,433,106,384,19,233,200,0,19,0,0,0,347,0,0,0,0,1192215,0.0,0.0,0.0,0,0,0,0
q1-1.sql,true,857,410,108,320,19,217,193,0,19,0,0,0,352,0,0,0,0,1192215,0.0,0.0,0.0,0,0,0,0
q1-1.sql,true,872,418,105,330,19,217,201,0,19,0,0,0,346,0,0,0,0,1192215,0.0,0.0,0.0,0,0,0,0
q1-1.sql,true,849,417,105,308,19,214,203,0,19,0,0,0,347,0,0,0,0,1192215,0.0,0.0,0.0,0,0,0,0
q1-1.sql,false,898,416,107,354,21,217,199,0,21,0,0,0,346,0,0,0,0,1192215,0.0,0.0,0.0,0,0,0,0
