[+] Completed forward pass on batch: train loss: 0.3357292190018353, train accuracy: 0.8984375
[+] Completed forward pass on batch: train loss: 0.39837130100322826, train accuracy: 0.8828125
[+] Completed forward pass on batch: train loss: 0.19268354960398743, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.10200156360897458, train accuracy: 0.96875
[+] Completed forward pass on batch: train loss: 0.2839344193681103, train accuracy: 0.90625
[+] Completed forward pass on batch: train loss: 0.2968650352759377, train accuracy: 0.9140625
[+] Completed forward pass on batch: train loss: 0.25093668244332024, train accuracy: 0.921875
[+] Completed forward pass on batch: train loss: 0.18941614043046956, train accuracy: 0.9296875
[+] Completed forward pass on batch: train loss: 0.21772915247175698, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.15709532379510546, train accuracy: 0.9453125
[+] Completed forward pass on batch: train loss: 0.15419338000990127, train accuracy: 0.9609375
[+] Completed forward pass on batch: train loss: 0.40366290906660335, train accuracy: 0.8671875
[+] Completed forward pass on batch: train loss: 0.2833250652990758, train accuracy: 0.9296875
[+] Completed forward pass on batch: train loss: 0.30174265607129197, train accuracy: 0.8828125
[+] Completed forward pass on batch: train loss: 0.198288861744806, train accuracy: 0.953125
[+] Completed forward pass on batch: train loss: 0.27398336568808807, train accuracy: 0.890625
[+] Completed forward pass on batch: train loss: 0.2547532033619738, train accuracy: 0.9140625
[+] Completed forward pass on batch: train loss: 0.24026940063490135, train accuracy: 0.9453125
[+] Completed forward pass on batch: train loss: 0.3013974561136608, train accuracy: 0.90625
[+] Completed forward pass on batch: train loss: 0.45303359976491836, train accuracy: 0.8984375
[+] Completed forward pass on batch: train loss: 0.2878525451158231, train accuracy: 0.9140625
[+] Completed forward pass on batch: train loss: 0.25217622687164254, train accuracy: 0.921875
[+] Completed forward pass on batch: train loss: 0.3840146381164879, train accuracy: 0.890625
[+] Completed forward pass on batch: train loss: 0.3040511599556559, train accuracy: 0.8984375
[+] Completed forward pass on batch: train loss: 0.21073186128577326, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.26289962084218726, train accuracy: 0.90625
[+] Completed forward pass on batch: train loss: 0.17406042368530145, train accuracy: 0.9609375
[+] Completed forward pass on batch: train loss: 0.15105004201684313, train accuracy: 0.953125
[+] Completed forward pass on batch: train loss: 0.28905723384340254, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.2586303230855038, train accuracy: 0.9140625
[+] Completed forward pass on batch: train loss: 0.33027196075454596, train accuracy: 0.890625
[+] Completed forward pass on batch: train loss: 0.239750608606941, train accuracy: 0.9140625
[+] Completed forward pass on batch: train loss: 0.24879128057391212, train accuracy: 0.8984375
[+] Completed forward pass on batch: train loss: 0.25113539908285604, train accuracy: 0.8984375
[+] Completed forward pass on batch: train loss: 0.28324094709331016, train accuracy: 0.90625
[+] Completed forward pass on batch: train loss: 0.324757184864801, train accuracy: 0.8828125
[+] Completed forward pass on batch: train loss: 0.4854995870415361, train accuracy: 0.859375
[+] Completed forward pass on batch: train loss: 0.2187038245792288, train accuracy: 0.9296875
[+] Completed forward pass on batch: train loss: 0.12559698736730063, train accuracy: 0.953125
[+] Completed forward pass on batch: train loss: 0.2280807361808789, train accuracy: 0.890625
[+] Completed forward pass on batch: train loss: 0.25341280435553676, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.20982808870015013, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.20389755867599055, train accuracy: 0.9609375
[+] Completed forward pass on batch: train loss: 0.1919855651030183, train accuracy: 0.9296875
[+] Completed forward pass on batch: train loss: 0.24113136456202852, train accuracy: 0.9375
[+] Completed forward pass on batch: train loss: 0.2801217296784769, train accuracy: 0.9140625
